date,store,brand,brand_group,name,size_label,size_value,size_unit,ean,price,unit_price,url
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Apple Fresh Korpásodás Elleni sampon - 400 ml,400 ml,400.0,ml,5410076659456,2354.0,Nincs készleten 2 354 Ft 5 885 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-apple-fresh-sampon-400-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Apple Fresh korpásodás elleni sampon - 800 ml,800 ml,800.0,ml,8700216306782,4010.0,Nincs készleten 4 010 Ft 5 013 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-apple-fresh-korpasodas-elleni-sampon-800-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Citrus Fresh 2in1 sampon - 400 ml,400 ml,400.0,ml,8006530305372,2354.0,Nincs készleten 2 354 Ft 5 885 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-citrus-fresh-2az1-ben-korpasodas-elleni-sampon-es-balzsam-400-ml-korpamentes-haj
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Citrus Fresh korpásodás elleni sampon zsíros hajra - 400 ml,400 ml,400.0,ml,5011321336032,2354.0,Nincs készleten 2 354 Ft 5 885 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-citrus-fresh-sampon-400-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Classic Clean 2az1-ben korpásodás elleni sampon - 625 ml,625 ml,625.0,ml,8700216304948,3133.0,Nincs készleten 3 133 Ft 5 013 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-classic-clean-2az1-ben-korpasodas-elleni-sampon-625-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Classic Clean Normál Hajra Korpásodás Elleni sampon - 400 ml,400 ml,400.0,ml,5011321336049,2354.0,Nincs készleten 2 354 Ft 5 885 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-classic-clean-sampon-normal-hajra-400-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Classic Clean korpásodás elleni sampon - 800 ml,800 ml,800.0,ml,8700216156134,4010.0,Nincs készleten 4 010 Ft 5 013 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-classic-clean-korpasodas-elleni-sampon-800-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Menthol Fresh korpásodás elleni sampon - 800 ml,800 ml,800.0,ml,8700216156196,4010.0,Nincs készleten 4 010 Ft 5 013 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-menthol-fresh-korpasodas-elleni-sampon-800-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Menthol Fresh 2in1 korpásodás elleni sampon - 625 ml,625 ml,625.0,ml,8700216305372,3133.0,Nincs készleten 3 133 Ft 5 013 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-menthol-fresh-2in1-korpasodas-elleni-sampon-625-ml
2026-08-19,Rossmann,Head & Shoulders,Hajápolás,Head & Shoulders Menthol Korpáspdás Elleni sampon - 400 ml,400 ml,400.0,ml,5011321336094,2354.0,Nincs készleten 2 354 Ft 5 885 Ft/l,https://shop.rossmann.hu/termek/head-shoulders-mentolos-sampon-400-ml
